Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1784365181,400,,Aggregated,66.700000,0.000000,1600,2400,2500,2500,4500,4700,6700,6800,11000,13000,13000,4119,1,1600,1786.9751169917186,8.474664064124227,13321.75068790093,245.87205632435058
1784365182,400,,Aggregated,66.900000,0.000000,1700,2400,2500,2500,4500,4700,6700,6800,11000,13000,13000,4182,1,1700,1810.442428741384,8.474664064124227,13321.75068790093,246.79435676709707
1784365183,400,,Aggregated,66.900000,0.000000,1800,2400,2500,2500,4500,4700,6700,6900,11000,13000,13000,4243,1,1800,1832.9633912514419,8.474664064124227,13321.75068790093,246.7819938722602
1784365184,400,,Aggregated,66.000000,0.000000,1800,2400,2500,2500,4500,4700,6700,6900,11000,16000,16000,4309,1,1800,1860.3782429420155,8.474664064124227,15599.389414070174,246.76467857971687
1784365185,400,,Aggregated,66.700000,0.000000,1800,2400,2500,2500,4500,4700,6700,6900,11000,18000,18000,4371,1,1800,1877.1633448642688,8.474664064124227,17738.14116604626,247.36513383665064
1784365186,400,,Aggregated,66.300000,0.000000,1900,2400,2500,2500,4500,4700,6700,7000,11000,18000,18000,4441,1,1900,1900.4926522662627,8.474664064124227,17738.14116604626,247.08511596487278
1784365187,400,,Aggregated,65.900000,0.000000,1900,2400,2500,2500,4600,4800,6800,7000,11000,18000,18000,4510,1,1900,1928.5114007120737,8.474664064124227,17738.14116604626,247.5609756097561
1784365188,400,,Aggregated,65.600000,0.000000,2000,2400,2500,2500,4600,4800,6800,7100,11000,18000,18000,4567,1,2000,1944.369075800834,8.474664064124227,17738.14116604626,248.3569082548719
1784365189,400,,Aggregated,64.800000,0.000000,2100,2400,2500,2600,4600,4800,6800,7200,11000,18000,18000,4633,1,2100,1969.0637748576692,8.474664064124227,17738.14116604626,247.12044031944745
1784365190,400,,Aggregated,64.000000,0.000000,2100,2400,2500,2600,4600,4800,6800,7300,13000,18000,18000,4699,1,2100,1991.8890338460235,8.474664064124227,17738.14116604626,247.20578846563097
1784365191,400,,Aggregated,64.800000,0.000000,2100,2400,2500,2600,4600,4900,6800,8400,13000,18000,18000,4771,1,2100,2018.4329342923932,8.474664064124227,17738.14116604626,248.4797736323622
1784365192,400,,Aggregated,64.600000,0.000000,2200,2500,2500,2600,4600,4900,6800,8200,13000,18000,18000,4832,1,2200,2035.6551612537398,8.474664064124227,17738.14116604626,249.81995033112582
1784365193,400,,Aggregated,65.000000,0.000000,2200,2500,2500,2600,4600,4900,6800,7400,13000,18000,18000,4906,1,2200,2050.161253560828,8.474664064124227,17738.14116604626,249.11455360782716
1784365194,400,,Aggregated,65.200000,0.000000,2300,2500,2500,2600,4600,4900,6900,8200,13000,18000,18000,4968,1,2300,2067.554039578394,8.474664064124227,17738.14116604626,250.55756843800322
1784365195,400,,Aggregated,64.800000,0.000000,2300,2500,2600,2600,4600,4900,6900,8400,13000,18000,18000,5025,1,2300,2084.00174422412,8.474664064124227,17738.14116604626,251.02308457711442
1784365196,400,,Aggregated,66.000000,0.000000,2300,2500,2600,2700,4600,5000,6900,8600,13000,18000,18000,5088,1,2300,2097.385320707031,8.474664064124227,17738.14116604626,251.02849842767296
